Date,unit_total,close,volume,amt,turn,NAV_adj,BBI,MA,MACD,BIAS,KDJ,stage_high,stage_low,risk_downside,fund_id
2018/10/25,1026317700,0.718,107072615,74086681,10.4327,0.715,0.6631,0.6732,-0.0009,12.5098,74.0574,FALSE,FALSE,-34.9231,174
2018/10/26,1026317700,0.692,99670400,69976718,9.7115,0.715,0.6691,0.6896,0.0018,8.0968,76.0383,FALSE,FALSE,-34.9231,174
2018/9/26,257173700,1.665,8173000,13585570,3.178,1.6651,1.6343,1.6244,-0.0333,3.1492,65.3116,FALSE,FALSE,-22.3947,175
2018/9/27,257173700,1.674,9812800,16449633,3.8156,1.6765,1.642,1.6394,-0.0272,3.6479,72.5799,FALSE,FALSE,-21.8633,175
2018/9/28,257173700,1.697,7429700,12527972,2.889,1.6951,1.6518,1.6602,-0.0204,4.9258,81.5191,FALSE,FALSE,-20.9965,175
2018/10/8,262173700,1.614,10396300,17009401,3.9654,1.6174,1.6466,1.6568,-0.0214,-0.1547,70.8119,FALSE,FALSE,-24.6178,175
2018/10/9,262173700,1.618,4016300,6504528,1.5319,1.6166,1.6404,1.6536,-0.0216,-0.0566,60.4912,FALSE,FALSE,-24.6551,175
2018/10/10,266173700,1.598,8579750,13739219,3.2234,1.5977,1.6294,1.6402,-0.0231,-1.3885,46.3384,FALSE,FALSE,-25.536,175
2018/10/11,265173700,1.538,10231800,15823138,3.8585,1.5421,1.6154,1.613,-0.0288,-5.0422,33.2178,FALSE,TRUE,-28.1273,175
2018/10/12,265173700,1.564,6141400,9524050,2.316,1.5636,1.6048,1.5864,-0.0309,-3.3822,29.5096,FALSE,TRUE,-27.1253,175
2018/10/15,265173700,1.555,4637200,7254319,1.7487,1.5542,1.5929,1.5746,-0.0329,-3.7201,25.2932,FALSE,TRUE,-27.5634,175
2018/10/16,269165200,1.526,8921000,13683394,3.3143,1.5268,1.585,1.5562,-0.0364,-5.1879,19.2045,FALSE,TRUE,-28.8404,175
2018/10/17,273173700,1.514,9960400,15092967,3.6462,1.5124,1.5724,1.5394,-0.0397,-5.3602,18.2575,FALSE,TRUE,-29.5116,175
2018/10/18,278173700,1.454,13941200,20481345,5.0117,1.4541,1.5521,1.5226,-0.0466,-8.2505,12.7617,FALSE,TRUE,-32.2287,175
2018/10/19,278173700,1.468,8436600,12224577,3.0329,1.4755,1.5379,1.5034,-0.0504,-6.3974,16.5381,FALSE,TRUE,-31.2314,175
2018/10/22,276173700,1.547,15705500,23785109,5.6868,1.5503,1.5361,1.5018,-0.0464,-0.6901,31.5861,FALSE,TRUE,-27.7452,175
2018/10/23,281173700,1.506,8576800,13040578,3.0504,1.5108,1.5327,1.4978,-0.0461,-2.3241,38.5911,FALSE,TRUE,-29.5861,175
2018/10/24,280173700,1.485,10537490,15622697,3.7611,1.483,1.5283,1.492,-0.047,-3.0099,39.2149,FALSE,FALSE,-30.8818,175
2018/10/25,282173700,1.457,8553400,12371227,3.0313,1.4614,1.5137,1.4926,-0.0494,-3.9974,34.2358,FALSE,FALSE,-31.8885,175
2018/10/26,282173700,1.455,8326600,12140704,2.9509,1.4614,1.5052,1.49,-0.0509,-3.3704,31.5958,FALSE,FALSE,-31.8885,175
2018/9/26,567159900,1.763,500600,885642,0.0883,1.7665,1.7134,1.7344,0.0196,4.4689,85.9755,TRUE,FALSE,-38.518,176
2018/9/27,567159900,1.748,819600,1435187,0.1445,1.7506,1.7183,1.7426,0.0214,3.0407,82.3796,TRUE,FALSE,-39.0714,176
2018/9/28,592159900,1.773,437900,777145,0.0739,1.7757,1.727,1.757,0.0246,3.8208,85.3334,TRUE,FALSE,-38.1978,176
2018/10/8,592159900,1.695,1234800,2106889,0.2085,1.6958,1.7223,1.7452,0.0206,-1.0604,67.495,TRUE,FALSE,-40.9787,176
2018/10/9,593159900,1.694,204300,345962,0.0344,1.6961,1.7161,1.7346,0.0172,-1.2821,47.0585,TRUE,FALSE,-40.9683,176
2018/10/10,593159900,1.694,78400,132820,0.0132,1.6938,1.7079,1.7208,0.0143,-1.4257,34.6727,FALSE,FALSE,-41.0483,176
2018/10/11,597159900,1.601,4506700,7289312,0.7547,1.6021,1.6914,1.6914,0.0045,-6.5837,24.9955,FALSE,FALSE,-44.2399,176
2018/10/12,599159900,1.628,499800,807379,0.0834,1.6176,1.6791,1.6624,-0.0012,-4.7257,23.1594,FALSE,FALSE,-43.7004,176
2018/10/15,601159900,1.601,304200,490522,0.0506,1.5965,1.6613,1.6436,-0.0077,-5.8189,17.3199,FALSE,FALSE,-44.4348,176
2018/10/16,602159900,1.607,505600,816149,0.084,1.6019,1.6551,1.6262,-0.0123,-5.0283,14.4526,FALSE,FALSE,-44.2468,176
2018/10/17,602159900,1.615,552600,883021,0.0918,1.6096,1.6473,1.6104,-0.0151,-3.8976,15.3261,FALSE,TRUE,-43.9788,176
2018/10/18,602159900,1.578,400300,633307,0.0665,1.5721,1.6362,1.6058,-0.02,-5.3058,11.452,FALSE,TRUE,-45.284,176
2018/10/19,602159900,1.639,1083000,1747320,0.1799,1.6442,1.6375,1.608,-0.0188,-1.0316,25.5154,FALSE,TRUE,-42.7746,176
2018/10/22,607159900,1.801,13940700,24631592,2.2961,1.7486,1.6629,1.648,-0.0047,8.4613,50.0715,TRUE,TRUE,-39.141,176
2018/10/23,598159900,1.716,5292500,9272330,0.8848,1.7137,1.6789,1.6698,-0.0004,3.6388,54.8776,TRUE,TRUE,-40.3557,176
2018/10/24,537159900,1.735,7241500,12500074,1.3481,1.7403,1.6941,1.6938,0.0045,4.5758,60.6667,TRUE,FALSE,-39.4299,176
2018/10/25,537159900,1.771,2161600,3729234,0.4024,1.7792,1.7009,1.7324,0.0111,6.3344,69.4241,FALSE,FALSE,-38.076,176
2018/10/26,537159900,1.736,1350200,2367153,0.2514,1.7792,1.7108,1.7518,0.0134,4.0144,70.5004,FALSE,FALSE,-38.076,176
2018/9/26,1089592300,0.93,144354400,134134334,13.2485,0.9303,0.9067,0.9144,0.0018,4.1045,79.898,FALSE,FALSE,-8.435,177
2018/9/27,1097592300,0.928,109114300,101211826,9.9412,0.9276,0.9098,0.9204,0.0037,3.4079,82.0532,FALSE,FALSE,-8.7008,177
2018/9/28,1101592300,0.937,98430700,91846243,8.9353,0.9368,0.9146,0.928,0.0058,3.8227,87.0551,FALSE,FALSE,-7.7953,177
2018/10/8,1109592300,0.894,132353700,119948124,11.9281,0.8974,0.9116,0.9214,0.0039,-1.1426,69.3112,FALSE,FALSE,-11.6732,177
